2021-06-07 18:01:25,950 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 18:01:25,951 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 18:01:42,406 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 18:01:42,410 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 18:01:42,412 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 18:01:42,414 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 18:07:19,065 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 18:07:19,069 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 18:07:19,081 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 18:07:19,085 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 18:08:06,837 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 18:08:06,838 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 18:08:06,845 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 18:08:06,847 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 18:08:12,981 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 18:08:12,982 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 18:08:12,983 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 18:08:12,985 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 18:08:35,176 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 18:08:35,178 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 18:08:35,180 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 18:08:35,181 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 18:23:22,211 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 18:23:22,231 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 18:23:22,236 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 18:23:22,241 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 18:23:42,672 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 18:23:42,677 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 18:23:42,815 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 18:23:42,815 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 18:24:01,001 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 18:24:01,006 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 18:24:01,006 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 18:24:01,006 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 18:24:13,653 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 18:24:13,653 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 18:24:13,658 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 18:24:13,658 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 18:24:34,471 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 18:24:34,471 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 18:24:34,476 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 18:24:34,476 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 18:24:47,878 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2021-06-07 18:24:47,883 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2021-06-07 18:24:47,883 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
